"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Automobiles | Motorcycles | Acura | BMW | Cadillac | Chevrolet | Datsun/Nissan | Honda | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C91B14C16"
"ColumnCount:",9
"RowCount:",552

"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"08/2008",32,27,41,233,94,135,6,157
"09/2008",33,31,32,184,82,129,7,105
"10/2008",29,23,42,243,139,160,3,97
"11/2008",33,28,38,245,101,162,2,45
"12/2008",20,31,41,260,99,166,1,28
"01/2009",30,24,37,212,76,145,5,20
"02/2009",23,19,39,176,91,136,3,38
"03/2009",28,21,29,203,97,134,3,43
"04/2009",22,29,32,198,92,115,4,79
"05/2009",30,27,50,207,117,165,5,111
"06/2009",31,18,22,207,90,155,2,102
"07/2009",23,19,24,192,79,159,4,100
"08/2009",28,22,34,218,89,162,3,98
"09/2009",20,23,31,217,70,130,6,91
"10/2009",25,17,25,213,126,157,2,60
"11/2009",25,18,33,193,84,145,2,54
"12/2009",15,22,28,193,84,124,1,25
"01/2010",20,25,34,155,90,124,,16
"02/2010",16,17,22,157,72,136,4,18
"03/2010",25,17,25,166,88,140,,49
"04/2010",24,32,25,187,87,127,6,105
"05/2010",24,23,28,202,101,151,3,95
"06/2010",24,14,36,206,78,135,4,107
"07/2010",15,28,27,207,82,139,12,114
"08/2010",28,23,28,201,82,131,8,95
"09/2010",21,21,27,196,84,124,7,87
"10/2010",19,26,41,208,97,177,5,69
"11/2010",26,20,24,197,102,147,3,34
"12/2010",29,14,28,168,100,151,2,24
"01/2011",27,24,25,164,87,159,2,31
"02/2011",14,17,24,145,49,116,4,34
"03/2011",24,24,26,176,83,117,3,45
"04/2011",32,20,24,195,93,133,5,72
"05/2011",19,28,32,203,105,132,3,92
"06/2011",24,14,31,193,97,137,3,114
"07/2011",27,20,37,214,95,165,3,138
"08/2011",27,17,28,220,84,132,7,128
"09/2011",13,21,21,193,85,144,8,75
"10/2011",32,22,31,207,118,148,4,82
"11/2011",25,30,27,194,101,136,2,45
"12/2011",28,18,29,200,121,152,1,25
"01/2012",21,22,34,183,100,131,4,22
"02/2012",22,20,22,160,81,140,1,34
"03/2012",15,21,28,176,110,143,2,81
"04/2012",19,22,27,192,86,157,3,82
"05/2012",20,23,41,193,96,141,10,111
"06/2012",28,32,26,179,119,137,10,107
"07/2012",24,17,31,199,89,149,5,104
"08/2012",23,23,31,209,97,161,4,100
"09/2012",14,21,24,206,95,126,12,86
"10/2012",33,20,35,223,110,151,6,57
"11/2012",30,18,28,218,123,151,2,40
"12/2012",21,28,26,225,110,168,1,27
"01/2013",26,20,24,173,96,139,3,35
"02/2013",13,20,17,135,71,124,1,24
"03/2013",16,32,35,186,104,140,4,44
"04/2013",21,17,21,172,91,134,6,72
"05/2013",21,28,26,192,94,141,3,104
"06/2013",22,21,28,187,90,157,7,85
"07/2013",18,34,23,191,116,123,6,108
"08/2013",28,29,29,210,101,162,4,139
"09/2013",19,27,33,196,119,153,10,109
"10/2013",31,22,32,225,124,158,6,67
"11/2013",29,24,25,212,120,165,3,41
"12/2013",22,28,31,232,121,123,2,26
"01/2014",18,21,26,160,113,112,2,26
"02/2014",18,16,17,160,80,124,,25
"03/2014",19,23,22,165,93,144,3,46
"04/2014",16,21,26,175,96,141,5,71
"05/2014",25,24,35,177,125,132,5,83
"06/2014",19,28,30,187,97,136,7,101
"07/2014",26,24,26,197,105,144,4,93
"08/2014",25,35,25,190,102,171,10,93
"09/2014",24,21,23,187,98,141,10,91
"10/2014",31,31,33,214,125,180,5,61
"11/2014",28,30,27,203,140,189,3,39
"12/2014",32,32,37,196,102,173,3,31
"01/2015",17,36,32,192,131,163,1,33
"02/2015",20,21,23,154,87,127,2,26
"03/2015",22,23,26,213,112,146,9,55
"04/2015",15,30,25,190,125,149,8,61
"05/2015",19,25,33,220,139,168,6,85
"06/2015",24,27,32,223,142,164,13,99
"07/2015",19,28,30,232,149,161,7,117
"08/2015",28,24,34,222,142,170,11,113
"09/2015",26,32,25,213,149,165,8,93
